Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
SPOOKY AMATEUR*      1         70   70   70   69   279
WALLY WEDGE          2         70   70   70   70   280       $180000.00
ALLY AKBAR           3T        77   70   70   70   287       $ 88000.00
HENRY HACKER         3T        77   70   70   70   287       $ 88000.00
TOMMY TWO IRON*      3         71   72   72   72   287
BEN BIRDIE           6         70   74   72   72   288       $ 48000.00
NORMAN NIBLICK*      6         72   72   72   72   288
TIGER WOODS          8         73   73   73   73   292       $ 47000.00
NICK FALDO           9         73   73   73   74   293       $ 46000.00
SUZANNE PETTERSEN    10        73   73   73   75   294       $ 45000.00
JACK NICHOLSON       11        73   74   75   75   297       $ 44000.00
JACK NICKLAUS        12T       73   74   75   76   298       $ 42500.00
PERSON 54            12T       50   50   99   99   298       $ 42500.00
DONALD DUCK          14        70   60   80   99   309       $ 41000.00
PERSON 18            15        68   85   82   86   321       $ 40000.00
PERSON 19*           15        69   85   81   86   321
PERSON 15            17        65   85   86   86   322       $ 29105.00
PERSON 16            18        66   85   86   86   323       $ 28000.00
PERSON 17            19        67   85   86   86   324       $ 27000.00
PERSON 10            20T       60   85   85   95   325       $  9675.00
PERSON 20            20T       70   85   84   86   325       $  9675.00
PERSON 11            22        61   85   85   96   327       $  3340.00
PERSON 24            23        74   85   83   86   328       $  3330.00
PERSON 12            24T       62   85   85   97   329       $  3310.00
PERSON 21            24T       71   85   87   86   329       $  3310.00
PERSON 23            24T       73   85   85   86   329       $  3310.00
PERSON 30            27        80   75   89   86   330       $  3290.00
PERSON 13            28T       63   85   85   98   331       $  3275.00
PERSON 26            28T       76   85   84   86   331       $  3275.00
PERSON 22            30T       72   85   89   86   332       $  3255.00
PERSON 43            30T       92   70   84   86   332       $  3255.00
PERSON 14            32T       64   85   85   99   333       $  3235.00
PERSON 33            32T       83   79   85   86   333       $  3235.00
PERSON 27            34        77   85   86   86   334       $  3220.00
PERSON 44            35        93   71   85   86   335       $  3210.00
PERSON 28            36        78   85   87   86   336       $  3200.00
PERSON 01            37        81   85   85   86   337       $  3190.00
PERSON 38            38T       85   85   82   86   338       $  3175.00
PERSON 45            38T       94   72   86   86   338       $  3175.00
PERSON 02            40        82   85   85   87   339       $  3160.00
PERSON 37            41T       86   85   83   86   340       $  3145.00
PERSON 39            41T       88   85   81   86   340       $  3145.00
PERSON 03            43T       83   85   85   88   341       $  3120.00
PERSON 40            43T       89   85   81   86   341       $  3120.00
PERSON 46            43T       95   73   87   86   341       $  3120.00
PERSON 36            46        87   85   84   86   342       $  3100.00
PERSON 04            47T       84   85   85   89   343       $  2850.00
PERSON 41*           47        90   85   82   86   343
PERSON 58            47T       91   85   81   86   343       $  2850.00
PERSON 25            50T       88   88   82   86   344       $  2550.00
PERSON 47            50T       96   74   88   86   344       $  2550.00
PERSON 57            50T       92   84   82   86   344       $  2550.00
PERSON 59            50T       90   86   82   86   344       $  2550.00
PERSON 05            54T       85   85   85   90   345       $  2379.00
PERSON 34            54T       84   88   87   86   345       $  2379.00
PERSON 35            54T       85   85   89   86   345       $  2379.00
PERSON 42            54T       91   85   83   86   345       $  2379.00
PERSON 56            54T       93   83   83   86   345       $  2379.00
PERSON 55            59        94   82   84   86   346       $  2350.00
PERSON 06            60T       86   85   85   91   347       $  2330.00
PERSON 32            60T       82   94   85   86   347       $  2330.00
PERSON 48            60T       97   75   89   86   347       $  2330.00
PERSON 07            63T       87   85   85   92   349       $  2220.00
PERSON 52            63T       97   79   87   86   349       $  2220.00
PERSON 51            65        98   78   88   86   350       $  2090.00
PERSON 08            66T       88   85   85   93   351       $  2075.00
PERSON 50            66T       99   77   89   86   351       $  2075.00
PERSON 09            68        89   85   85   94   353       $  2060.00
RUBEN SPAANS                   70   71   80        DQ
JIMMY ABLE                     69   73   80        DQ
EDDIE EAGLE                    71   71             DQ

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
PERSON 03            1         70   70   70   69   279       $180000.00
PER BOASSON*         2         69   69   69   73   280
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 01            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 02            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03            2T        70   70   70   70   280       $ 12178.81
PERSON 03*           2         70   70   70   70   280
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 04            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 05            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 06            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 07            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 08            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 09            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
PERSON 10            2T        70   70   70   70   280       $ 12178.81
MEE MEE              71T       70   70   70   71   281       $   804.00
PERSON 01            71T       70   70   70   71   281       $   804.00
PERSON 02            71T       70   70   70   71   281       $   804.00
PERSON 72            71T       70   70   70   71   281       $   804.00
PERSON 88            71T       70   70   70   71   281       $   804.00
A PERSON             76        69   69   82   86   306
