Case #1:
714 L
9116 L
6696 L
7304 L
1101 L
2787 R
3765 R
2533 R
5424 R
1137 R
821 R
2252 R
Fell off
6615 R
6254 L
8153 L
8049 L
4346 R
Fell off
7239 Turning
7647 L
2855 R
9136 L
4382 R
4782 R
3337 L
8607 L
9367 R
6779 L
1832 L
3366 R
2604 R
506 R
6993 R
7883 R
9276 L
2909 L
1106 R
6019 L
8318 R
1065 L
2451 L
6276 R
9158 R
8393 L
6124 L
4677 L
2488 R
8643 R
8457 R
657 R
3273 L
Fell off
1816 R
1658 L
9616 R
3140 L
7348 R
9072 L
7079 R
1806 R
836 L
2148 L
3440 R
7009 L
6062 R
5082 L
3138 L
9254 Turning
4383 R
9957 R
7426 R
3858 R
7505 L
1157 R
1507 L
989 R
2246 R
5255 L
Fell off
8987 L
1847 L
5288 L
7046 L
8068 R
7524 R
3641 L
2938 L
5085 L
593 R
1982 R
5376 L
2088 L
2375 L
7866 R
3425 R
1012 L
4021 L
2926 L
6211 R
2664 Turning
2664 Turning
5448 R
Fell off
9737 R
7069 R
Fell off
5680 R
8880 R
3968 R
8315 R
3796 R
6054 R
2994 R
4304 R
7945 L
3429 R
9697 R
2191 L
9460 L
3233 R
6614 L
572 L
7197 L
7596 L
7061 R
7985 Turning
4384 L
6534 L
5685 L
2509 L
1188 L
5073 R
5979 Turning
3503 L
2621 L
5866 L
9054 L
7564 R
5183 R
1677 R
Fell off
5202 L
5979 Turning
566 R
720 Turning
9814 R
1347 L
9152 L
5489 R
4310 L
2354 R
946 L
7370 L
7121 R
3044 L
1251 L
4930 L
3677 L
3710 R
3868 R
8491 L
9029 L
53 L
9013 R
4286 L
700 R
672 R
1930 R
9178 R
7372 R
2923 R
7861 R
3047 R
6326 L
5406 R
6508 R
6023 L
3734 L
1219 R
1742 R
9682 R
5078 L
6049 L
5745 L
7300 R
4082 R
4389 R
4973 R
9387 L
912 R
1035 R
3699 R
6 L
7662 R
8544 L
1171 L
6460 R
4330 L
5999 L
4911 L
6668 R
Fell off
2166 L
496 L
1502 L
3882 R
6884 L
1209 R
9211 R
5133 R
8938 R
7550 L
2302 R
4335 L
4434 R
6929 R
4213 R
993 L
Fell off
7871 L
5287 L
9166 L
9929 R
5899 R
646 R
4550 L
4449 R
9021 R
3690 R
379 L
1648 R
5504 L
8139 L
7763 Turning
7548 R
9240 R
4645 R
Fell off
6635 R
2914 R
3612 L
1845 R
2562 R
2311 R
6307 L
3231 L
6440 L
2005 R
325 L
3373 L
2674 L
6569 L
3480 Turning
8644 R
2631 R
